"icontitle","description"
"自定义","学校门口接送孩子的车乱停，没有停车场。希望有关部门加大执法力度"
"占道停车","路两边乱停车，天天早上堵车"
"过街设施","学生过马路太危险了，几年了没有改变，工作日每天早晚都要横穿马路"
"占道停车","学校附近马路占道停车严重，容易造成拥挤和孩童安全问题，合理安排停车位，分散疏解最重要"
"自定义","学校门口车太多交通拥堵"
"过街设施","每次接孩子就是车多，乱停乱放，有的车如果不注意，很容易碰到小孩子，建议学校旁边有专门的停车地方，限于接送孩子的车停放！这样的话，孩子安全有很大保障"
"过街设施","道路上应该有人行横道线，应该有提示车辆限速。"
"车辆超速","在学校门附近设置减速带，保证学生出行安全。"
"照明与监控","希望学校家长等候区可以安装监控系统"
"过街设施","孩子上下学没有红绿灯，和大货车抢行，急需红绿灯或者过街天桥"
"过街设施","请在孩子学校必经马路按上过街天桥"
"过街设施","每天几百名孩子上学放学来来回回过马路，急需红绿灯或天桥！"
"过街设施","建立一个过街天桥，学生会安全很多，现在全靠家长排班"
"过街设施","芳草地学校门口缺少过街天桥和红绿灯，过往车辆多，学生上学路上不安全。希望增加相应的设施，或者交警站岗指挥。"
"过街设施","道路窄，路边违章停车多，导致车辆通行不畅，学生过马路安全性低，需要建立过街天桥"
"过街设施","道路两旁人行道太窄 机动车停占"
"过街设施","门口的人行横道没有红绿灯，车根本不让行人，每次要好久才能过马路，对面就是幼儿园，太不方便了！"
"自定义","去上学路上机动车占用自行车道，完全没有自行车道，送孩子上学占用机动车道，危险系数太高"
"过街设施","过马路太危险，高峰时应设👮 "
"安全步行空间","胡同机动车多，行人有时候走都走不过去，太堵，遇上早上送孩子上做真着急😣"
"占道停车","门口停车大多，防碍交通，幼儿园好几个，接送孩子的家长也很多，非常不便。"
"占道停车","里仁街校区全是小孩子，但是道路很窄，每天总有家长开车来接，胡同都堵死了，建议上下学期间里仁街禁止机动车行驶。"
"占道停车","规划停车场，增加交通协管员"
"自定义","乱停车 行人不要乱行 要到绿灯排队过马路"
"占道停车","小区车辆过多，很多都停在路中央，不仅车辆行驶困难，行人走路都很麻烦。"
"过街设施","急需解决过街天桥的问题，孩子们上下学穿行马路太危险"
"过街设施","学校和小区中间没有安全的过街设施，为了孩子的出行安全请增设过街天桥或者红绿灯。"
"照明与监控","大鲁店北路加油站到富力又一城C区路段没有路灯照明。"
"安全步行空间","道路狭窄，车辆占道，由其幼儿园放学简直无法走路。"
"占道停车","小区道路两侧占用行人道停车"
"占道停车","占道停车严重，道路常拥堵"
"安全步行空间","上学时间，主干路红灯时，车辆时常把人行横道全部占满，绿灯过马路的孩子和家长不得不在车辆间的缝隙里穿行，非常不方便也非常不安全"
"占道停车","占道停车严重，上学高峰期时常拥堵"
"自定义","这段路的店面都已经拆了，很空旷。建议划一些停车空间出来，然后把自行车道的护栏加上，防止占道停车。"
"占道停车","此处建议不要占到停车。"
"过街设施","孩子上学放学 无安全通道 拦路危险 而且会造成特别严重的堵车"
"过街设施","学校门口道路窄，孩子上下学车流密集，但是没有红绿灯，十分危险。建议安装红绿灯，建过街天桥。"
"安全步行空间","没有人行道，道路两侧停满了车"
"车辆超速","车辆超速现象严重，过马路不安全，斑马线形同虚设。"
"占道停车","附近停车真的很困难啊，是否可以停车也没有明显的标记。"
"占道停车","道路两边非机动车道存在被占用现象，希望能够改善这种情况。"
"安全步行空间","机动车和人行道不分，幼儿园放学路上经常会遇到机动车堵路。"
"自定义","车子乱停放  交通堵塞容易出事故 孩子们没保障"
"安全步行空间","学校路段安全形势，多一些停车位，接送孩子方便"
"占道停车","为什么路边老停着那么多车，包括出租车，不贴条吗？"
"照明与监控","这里有些僻静，对照明和监控，应有所要求！！！"
"照明与监控","这个路口没有摄像头，经常有机动车闯红灯，建议安装监控"
"安全步行空间","这里的道路比较窄，又是在小区里。学生上下学的时候道路比较拥挤。建议减少路边停车的情况。"
"照明与监控","监控不够，照明设施不足"
"车辆超速","京开辅路大车闯红灯，车速快"
"自定义","建议13号线在此加站"
"过街设施","增设过街天桥，便于越来越多的人穿越马路。"
"自定义","主干路只有一侧有行人过街斑马线，大量幼儿园以及小学的学生过马路极不安全，也不方便。"
"占道停车","停车挡道，上学路被阻隔！"
"占道停车","仅有的双向车道，路边停满了车，非常影响通行"
"照明与监控","希望路灯照明设施尽快加强！"
"照明与监控","桥下面没红绿灯非常不安全"
"自定义","很好这个地方特别的好"
"占道停车","大货车长期占道停车，百度等软件园员工也在路边叠层停车！因为不会贴条也不收费"
"自定义","公交车总共没几辆也没有很多人坐，可是划出三分之一条车道，在早晚上班高峰完成了极大的行车压力，原本行驶缓慢的路段现在变成了拥堵无法通行的路段，这是在解决问题吗？"
"自定义","有学校有医院，每天早上八点晚四点-5点严重拥堵"
"安全步行空间","路边停车太多，还有商贩，不安全"
"自定义","公交专用道进分支路线的入口、出口划道不合理，应该提前划刮的路线"
"占道停车","这个位置经常占道停车"
"自定义","路段拥挤，需要改善。"
"自定义","整治后的大佛寺东街美丽，通畅，再也不堵了。"
"过街设施","按放红绿灯多 并且有警察"
"自定义","公交车线路很少，且乘坐的人也很少，单独划出公交车专用道是浪费道路资源，人为增加拥堵"
"自定义","太不方便了，安全步行空间不足，车辆停放也有点问题，还有晚上的灯光和监控方面需要再加强"
"照明与监控","为了孩子的安全，需要增如l监控设备"
"自定义","红红火火恍恍惚惚红红火火恍恍惚惚红红火火恍恍惚惚"
"自定义","上下班高峰，路段太堵，有许多安全隐患，希望能够得到解决。
"
"自定义","我觉得车辆要礼让行人，这样对孩子的出行会很有保障"
"安全步行空间","周围有小学之类的，停的车辆又多，孩子们上下学不安全"
"自定义","这个路段太堵车，导致我们孩子上学存在不安全问题。"
"自定义","希望可以在这里多增加一些红绿灯等设施，保障孩子的安全"
"自定义","现在孩子上学很不安全，特别是晚上来远光的啊"
"过街设施","现在车辆越来越多 孩子上下学越来越不安全 应该多添置一些过街的设施 让孩子们更安全的通行"
"自定义","车辆有慢行！在十字路口上行驶的时候"
"自定义","该路段太堵车，导致学生上学存在的不安全问题。"
"自定义","希望增加些安全防范标牌，提示小学生们行走安全"
"自定义","学生上下学很不安全，可以多设几个红绿灯，限速设置什么的。提高一下这里的交通安全。"
"自定义","建议多加一些限速标志！！！学生上下学不安全"
"自定义","汽车礼让行人，应该严格管理，特别是学生上下学期间"
"自定义","道路太堵了，学生上学很不安全。希望有关部门增加红绿灯或者一些限速标示"
"自定义","希望在学校附近少设一些摊位，防止堵车，也尽量避免交通事故。"
"自定义","希望可以可以增加一些红绿灯，使孩子们的出行更加安全。"
"自定义","请驾车人员注意礼让行人，孩子的安全一起保障。"
"过街设施","上下学时过街比较麻烦，最好能增加礼让行人标识，方便也安全。"
"自定义","现在车越来越多，容易出现堵车情况了，学生们上下学特别不安全了啊"
"安全步行空间","附近学校比较多孩子比较多 希望过往车辆能小心通行不要车速太快要礼让行人"
"自定义","希望可以车辆可以礼让行人，让孩子们的出行更有保障。"
"自定义","希望在学校周边少设一些摊位，防止堵车，也尽量避免交通事故。"
"自定义","请注意孩子安全，这里有点堵车，注意礼让行人"
"自定义","学生较多人流量车流量比较大 很容易堵车 希望能改善"
"自定义","孩子上下学，交通安全不保证，多添加一些设施，保障老人孩子的安全"
"安全步行空间","有一次接儿子放学回家，有人闯红灯，当时差点出事，太危险了，希望整改！"
"自定义","希望车辆可以礼让行人，让孩子们的，出行，更安全。"
"自定义","希望这里尽量多安置几个红路灯，以及道路标识，减少交通事故的发生。"
"自定义","现在的车辆越来越多，孩子们上下学的安全问题也非常值得重视起来，我认为要安装一些防护用品，增加安全意识。"
"自定义","现在有的人开车太快了啊，有的地方车也多，还没有红绿灯，希望多增添一下安全的设施，让孩子们和大人们安全通行！"
"自定义","增添红绿灯时间周期，时间短，孩子过马路不安全。"
"自定义","希望在学生上学放学时，有交警指挥车辆，避免不必要的事发生。"
"自定义","为了学生的安全起见，希望在路口设红绿灯，车辆行驶尽量避开学生上学放学时间。"
"自定义","真的希望可以把交通设施再完善一些  可以让人们过马路刚加安全"
"自定义","来往的车辆很多对孩子和老人都是一种安全隐患  真心希望可以完善一下交通设施"
"自定义","交通拥挤，车辆拥堵，希望能够增添一些限速标识。"
"安全步行空间","安全不行，空间太狭窄，希望能够加宽。"
"过街设施","需要设置安全警示牌啊，提醒孩子们上下学注意交通安全，毕竟有个牌子在那里孩子们多少都会去自主注意的"
"占道停车","占道停车情况严重，步行路窄希望改善"
"安全步行空间","步行空间比较狭窄，希望改善"
"安全步行空间","安全步行侠债，增加安全通道"
"占道停车","学校旁边栈道停车严重"
"自定义","这个地方很容易堵车，学生们上学不方便也不安全，希望可以改善一下"
"车辆超速","这里附近就是学校，学生上下学人比较多，希望往来的司机可以慢点开车，看红绿灯"
"自定义","希望行人可以加强礼让意识以及交通意识，为孩子创造一个良好的社会环境。"
"自定义","这条道路太容易堵车 学生上下学会很不安全 容易发生交通事故的"
"自定义","学生上学放学途中，车辆一定要礼让"
"自定义","我觉得应该多增设一些红绿灯，要不然会经常堵车而且也孩子上学不安全，存在一些安全隐患的问题。"
"自定义","这里人流量大，但红绿灯很少交通很拥堵啊，希望可以改善下交通，让人们出行更方便啊"
"过街设施","这里可能行人很多，车流量也很高，一定要加大红绿灯以及限速标志认识力度"
"自定义","车辆路经人行道时，一定要礼让行人，有必要增加一些标识"
"自定义","希望能够多增加一些红绿灯 能够为这里的学生多一些安全保障"
"车辆超速","在这边  小学生上学根本就是太危险了啊  一定要多建红绿灯 以及照明设施啊  保障孩子们的安全"
"占道停车","占道停车比较严重，希望改道"
"占道停车","占道停车严重，希望改造。
"
"车辆超速","这里离学校很近，学生们也经常从这里经过，冬天天黑的早，司机师傅们尽量慢一点，注意交通安全和路标"
"自定义","这条路存在安全隐患 容易堵车 学生上下学很不安全"
"车辆超速","接孩子超速比较严重，希望能限速"
"过街设施","希望红绿灯路口增设天桥"
"自定义","道路太堵，孩子们上学不安全
建议多设置红绿灯或减速设施"
"占道停车","占到停车严重 严重影响出行前望改进"
"过街设施","多一点绿化树，空气更新鲜"
"过街设施","有时车比较多，红绿灯不是很亮"
"占道停车","占道路空间，占用公众生活空间，道路拥挤"
"过街设施","道路狭窄，影响过路，车辆拥挤，设施存在安全隐患"
"车辆超速","有些车辆车速太快，夜间行驶太黑，影响安全"
"安全步行空间","空间有些狭小，可以扩大一下这里的空间，可以增加一些安全提醒语。"
"安全步行空间","空间问题，有些地方前后窄，人行时不太安全。"
"安全步行空间","空间有些狭小，可以扩大一下这里的安全步行空间，可以增设一些贴心的安全提醒语。"
"过街设施","高峰期车辆多，最好多点红绿灯，指挥交通，这样流动可以快些"
"占道停车","路边占道停车太多，骑自行车走路不方便，建议加大处罚力度！"
"自定义","建议孩子过马路要看红绿灯"
"自定义","建议孩子们过马路要看红绿灯，注意交通安全"
"照明与监控","照明光线太暗，非常不方便，而且晚上人流还多"
"过街设施","交通堵塞，公交车出行不便。汽车数量过多，自行车行驶不安全。路边自行车以及其他类车辆过多，妨碍路人通过。"
"过街设施","路段交通拥堵，希望改善一下"
"过街设施","年底地铁通了以后，过道不方便，需要绕行到十字路口到路对面，整天马路中间没有过街的天桥或是地下通道等"
"占道停车","车辆较多，乱停车，交通堵塞严重，望改善！！！！！"
"安全步行空间","空间比较小，车辆较多，会堵塞有时候有摩拜等，不是很方便，"
"自定义","行车车速太快，有点危险，联系规范市民素质。"
"自定义","交通堵塞，人车一起，隐藏许多危险啊！"
"安全步行空间","学生上学不安全堵车，需要增加红绿灯以及限速标识，礼让行人等"
"自定义","孩子注意安全，天黑的早，注意车辆，行车安全"
"安全步行空间","多增加点红绿灯礼让行人。"
"自定义","加强交叉路口的执勤，保证学生安全，禁止乱放自行车，要礼让行人"
"安全步行空间","多增加点红绿灯礼让行人"
"安全步行空间","多增加点红绿灯，礼让行人。"
"安全步行空间","学生上学不安全堵车，需要增加红绿灯以及限速标识，礼让行人等"
"自定义","红绿灯时间短，走到路中间不安全"
"过街设施","车辆多，减速带少，红绿灯时间段，路人过马路不安全，"
"自定义","学生上学的安全问题存在隐患，希望在上下学期间增派执勤人员，要求机动车严格遵循道路上的规章制度。"
"过街设施","减速带、红绿灯少，道路经常堵车，需要增加红绿灯以及限速标识，车辆应多礼让行人"
"自定义","交通堵塞 增加红绿灯"
"自定义","为了安全应该多一些警示牌"
"自定义","路口红绿灯应增加，上放学时应有交警指挥"
"车辆超速","学校门口标识少，建议增加警示牌"
"车辆超速","该区域应有限速标识 方便路人出行 进行交通管制 "
"占道停车","道路有点拥堵，希望能改善"
"安全步行空间","增添红绿灯，礼让行人，让孩子安全上学"
"自定义","交通堵塞 需要增加红绿灯。"
"占道停车","每到周五和周日，各高校门口，都会出现大量接送学生的车辆，交通拥堵。"
"占道停车","学校门口道路窄，接孩子的车占道严重"
"照明与监控","路灯照明状况不佳
增加监控设施
注意交通安全"
"过街设施","增加安全标识，保障红绿灯正常运行，车辆限速！"
"安全步行空间","对于学生上学路不安全因素，应该对机动车进行限速，规定过马路，岔口时先谦让学生，增设学生通道等"
"占道停车","学校门口交通秩序混乱，多设置警示标志"
"占道停车","路上停的车太多，乱停乱放"
"占道停车","长期有机动车占辅路和行人道停车，秩序混乱，影响非机动车及行人正常通行。"
"车辆超速","现在高校门前车速普遍过快，学生过马路很不安全。傍晚学生出入高峰期，学校就紧张，生怕出事。"
"自定义","公交车站秩序混乱，进站出站车辆较多，经常造成拥堵，影响正常通过。"
"安全步行空间","车辆较多，道路复杂，需要安全疏导员。"
"安全步行空间","加强人行横道的管理，车辆到此处请慢行"
"占道停车","学校门口乱停车，在这里改善占道停车"
"占道停车","车停的乱七八糟的 行人都没地走路了 车都停到了人行道上"
"占道停车","强烈建议不要让共享单车占用人行道"
"安全步行空间","感觉前泥洼地铁出口应设通行标志，感觉过马路非常危险，车流特别快，绿灯时间短。"
"自定义","交通拥堵，道路狭窄，没有停车位，孩子放学存在安全隐患"
"照明与监控","晚上出去道路太黑，现在车有多，所以建议增加照明和监控，谢谢"
"自定义","建议增设过街天桥，道路拥挤，学生放学很危险
"
"占道停车","非机动车道全让汽车停满了，自行车只能在机动车骑一段，非常危险。希望改进。"
"自定义","挺好的，希望能够继续保持，努力更好"
"过街设施","路边车很多，看不见过路标志"
"占道停车","不要让共享单车占用人行道"
"占道停车","建议增加车位，改善停车问题"
"占道停车","道路狭窄，会存在占道停车现象，影响通行，应该改善一下。"
"过街设施","红绿灯周期短  学生过马路不安全 "
"占道停车","道路窄，路边停车过多，容易堵车"
"过街设施","过街没有天桥和地下通道，红绿灯等候时间太长，右转车辆还和行人抢道。"
"自定义","建议将左转车道变成直行左转合用道。"
"过街设施","学校附近没有单独用于行人的过街设施，一段路需要逆行。"
"过街设施","上学，放学严重拥堵，建议在附近增设学校提示标志，让孩子们出行更安全！"
"安全步行空间","多增加红绿灯有秩序走路"
"自定义","学校门口小孩较多，请注意车辆行驶速度，注意避让行人"
"过街设施","人形过道存在不安全的因素！希望有关部门能够多注意这方面的问题"
"安全步行空间","多增加安全步行空间，以保证安全出行"
"过街设施","过街道路存在乱停乱放的共享单车！希望有关部门能够整治一下！"
"过街设施","延长红绿灯周期，周期太短了 孩子上学不安全，警示行车，礼让行人，安全第一。"
"安全步行空间","安全步行路太窄！人们行走不方便！希望有关部门能够解决这个问题！"
"过街设施","红绿灯增加  机动车辆减速慢行"
"占道停车","公交站旁边总是有很多车停"
"占道停车","占道停车，拐弯时看不见，增加了很多安全隐患，而且有碍市容市貌，真的是很不应该"
"占道停车","路边有乱停车现象 尤其是快递车并排停在路边 不方便人行道步行 也不方便停放共享单车"
"过街设施","学校门口不远处的穿街路口没有提醒减速或者前方学校提示牌，建议安装。上学放学时间段学生过街安全没有保障。"
"照明与监控","希望学校家长等候区可以安装监控系统"
"安全步行空间","人比较多，比较拥挤，出行不太方便。"
"安全步行空间","
现在高校门前车速普遍过快，学生过马路很不安全。
"
"占道停车","该区域应有限速标识，方便路人出行，进行交通管制"
"安全步行空间","人比较多，车比较多，比较拥挤，出行不太安全，希望能改进。"
"安全步行空间","设置学生安全通道牌，具有法律效率的监控，同时学校安全员和协管同时在路口和过街行到上进行引领，把控，输导，等现行标志"
"过街设施","附近学生较多，应该增加人员疏导，一方面改善道路畅通，同时也能保证孩子的出行安全。"
"安全步行空间","上学放学人流车流都比较大，建议增加公交站点"
"过街设施","没有什么问题，因为是新马路，车也少，但是没有过街天桥什么的，将来车流量多了，怕不是行人还没走完斑马线，绿灯就来了！"
"照明与监控","道路刚铺设完毕，没有看到监控"
"过街设施","左家庄西街车流量不小，附近小学，学生放学过马路无人行灯，有些司机又不主动让行，比较危险。"
"占道停车","学校附近街道很多小区居民私家车停放，学生上学放学高峰期容易造成道路拥堵。天气恶劣的情况下接孩子放学的车走不到学校门口"
"安全步行空间","外卖电动车太多，站满了人行道，电动车都在人行道上乱行驶，无人管理"
"安全步行空间","人行道太窄，不利于行人安全"
"过街设施","车流密集，但是人行横道较少，每次过马路都感觉很危险，还有好多拉客的三轮车！更危险"
"照明与监控","道路刚刚铺设完毕，没有看到监控，路口有违章现象，容易出交通事故，如果有监控设施，可以用来取证。"
"照明与监控","现在电动车速度太快，而且大部分逆行，照成很多安全隐患。"
"安全步行空间","共享单车占用人行道，公交车道设计不合理"
"照明与监控","晚上没有路灯，很黑，很危险！"
"占道停车","道路两边占道停车，影响自行车出行"
"占道停车","安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"占道停车","华远铭悦世家东门和南门外，商业一条街，占道停车非常严重，无法错车。建议加装违章摄像头，乱停就罚，否则小区无法进车出车，尤其是小区南侧博纳影城到迪卡侬那条路，私设无执照停车场乱收费，且停车场口设在马路口处，只要停车场有进出车，则马路上的所有通行车辆都得停下等待，甚至堵死。建议政府立即取剔行人路上停车！"
"过街设施","地下通道要有商业性和小吃、小商品聚集设施，冬天夏天人都原意走，出口要多，监控也要多，然后讲路口封死，通道一定要四面八方出口。地面路口删拦封堵，去掉地面人行道，必然有效果，一带一路的钱那会一点就办了。"
"自定义","这里的环境挺好，就是卖东西的不多，还有就是小孩幼儿园不多"
"安全步行空间","可以步行的地方很少，没有过街天桥，通行很不方便，没有固定自行车摆放地"
"安全步行空间","本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
"
"占道停车","放学时车辆占道严重，对学生人身安全影响，合理规划停车位"
"车辆超速","这里的车开的很快，有时候根本不会礼让行人，带着小孩过马路的时候很是担心"
"过街设施","路宽，红绿灯时间算长的了，但是走到马路对面也是很紧张，建议修地下通道或是过街天桥"
"占道停车","道路窄，路两边却停车占位，导致拥堵"
"照明与监控","这里的路灯比较昏暗，尤其冬天孩子放学比较晚，回家时总是担心孩子的安全问题"
"车辆超速","建议控制车速，路口车流量大，学生自己过马路不安全……"
"占道停车","这边的车辆多，停车场太少，乱停车的多"
"安全步行空间","附近人流，车流量比较大，自行车，电动车逆行现象比较普遍，望改善。"
"占道停车","学校，医院附近车很多，偶有发生站路停车行为？"
"占道停车","没地方停车，又到处都堵"
"安全步行空间","本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。"
"安全步行空间","1.      过街设施
（1）     接孩子的时候总是需要过红绿灯，车辆又较多。如果在就近增加过街天桥就好了。希望有关部门能够反应
 
    安全步行空间
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
"
"安全步行空间","上下班流量大注意安全"
"安全步行空间","道路停车问题严重，有的时候会影响学生的安全，应该增加安全指挥员"
"过街设施","马路宽，交通灯时间短，从地铁过马路太绕，有地下通道或天桥会比较好"
"过街设施","没有专属停车区域，很多车辆乱停乱放很是不方便"
"安全步行空间","
 

本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
"
"车辆超速","有些家长线速太快，学校周围安装限速设施，"
"过街设施","车多，人多。建议疏通！"
"过街设施","西罗园小学紧挨马路，路边还有很多车按喇叭，给孩子的学习环境造成很大的问题，路边停车现象也严重"
"占道停车","非机动车乱占车道行驶、超速 、红灯不停，加强管理"
"占道停车","希望学生家长等候区可以安装监控系统"
"车辆超速","车多人也多交通不方便，"
"安全步行空间","靠近学校，建立安全步行通道，保障学生上下学安全。"
"照明与监控","路口没有监控。。。学校门口也么有。路上的路灯有一段是坏掉的，晚上没有照明。学校门口灯太暗了，换明亮点的。
"
"自定义","大车太多，交通混乱，增强交通指挥，加强车辆安全管理"
"过街设施","学生上下学车流量多，建议多一些红绿灯"
"安全步行空间","
本身学校的家长等候区就小，还和自行车电动车在一个区域。太狭窄需要增加步行空间。
 
"
"自定义","例如学校门口乱停车情况比较严重，校外机构广告展位影响放学路"
"自定义","大车太多，交通混乱，加强指挥1及安全教育，"
"自定义","总是发生交通事故，请安装红绿灯🚥"
"过街设施","交通拥堵
加强交通监管"
"照明与监控","小区部分路段没有照明，小区内路段年久失修"
"照明与监控","此段路几乎没有照明，学生上下学不安全，希望增设路灯和监控"
"占道停车","路太窄了，还到处都停车，出行不方便，也不安全，建议改善"
"过街设施","红绿灯，斑马线多设置，加强礼让行人措施。"
"占道停车","占到停车，影响道路宽度，影响行人通行"
"占道停车","建议治理周边停车，改善早晚接送车辆通勤"
"过街设施","过街设施不全。不完整。有损坏。望改善"
"占道停车","没地方停，还贴条。小区也没地方停车"
"占道停车","这里马路两边停的车太多了，骑电动车的也多，骑自行车带孩子的时候根本没有路可以走，太危险了"
"安全步行空间","建议多设人行横道来保证安全"
"占道停车","占道停车占道停车占道停车"
"占道停车","学校门口乱停车情况比较严重，校外机构广告展位影响学生放学路上安全"
"安全步行空间"," 没有自行车到，到处都是车！"
"安全步行空间","增加安全步行空间，停车把所有步行空间全部占据，路牙上全是树木也无法行走，行人只能走行车道"
"占道停车","车辆太多，占用非机动车道，违规停车。"
"安全步行空间","希望可以增加安全步行空间"
